<UNK> 1.0	sil
sifi 1.0	ss ii ff ii 
signes 1.0	ss ii nn yy 
signes 1.0	ss ii nn yy zz 
signification 1.0	ss ii nn yy ii ff ii kk aa ss yy on 
signification 1.0	ss ii nn yy ii ff ii kk aa ss yy on nn 
sijè 1.0	ss ii jj 
siklis 1.0	ss ii kk ll ii 
siklis 1.0	ss ii kk ll ii zz 
sikré 1.0	ss ii kk rr 
similak 1.0	ss ii mm ii ll aa kk 
simplement 1.0	ss in pp ll ee mm an 
simplement 1.0	ss in pp ll ee mm an tt 
simplement 1.0	ss in pp ll mm an 
simplement 1.0	ss in pp ll mm an tt 
simulacres 1.0	ss ii mm uu ll aa kk rr 
simulacres 1.0	ss ii mm uu ll aa kk rr zz 
simé 1.0	ss ii mm 
sin 1.0	ss in 
sin 1.0	ss in nn 
singes 1.0	ss in jj 
singes 1.0	ss in jj zz 
sinifié 1.0	ss ii nn ii ff ii 
sinyé 1.0	ss ii nn ii 
siprimé-y 1.0	ss ii pp rr ii mm 
sis 1.0	ss ii 
sis 1.0	ss ii zz 
sisi 1.0	ss ii zz ii 
sistèm 1.0	ss ii ss tt 
sistématikman 1.0	ss ii ss tt 
sitiyasyon 1.0	ss ii tt ii yy aa zz yy on 
sitiyasyon 1.0	ss ii tt ii yy aa zz yy on nn 
sitou 1.0	ss ii tt ou 
situation 1.0	ss ii tt uu aa ss yy on 
situation 1.0	ss ii tt uu aa ss yy on nn 
sitwayen 1.0	ss ii tt ww ai yy in 
sitwayen 1.0	ss ii tt ww ai yy in nn 
sityasyon 1.0	ss ii tt yy aa zz yy on 
sityasyon 1.0	ss ii tt yy aa zz yy on nn 
siviv 1.0	ss ii vv ii vv 
sizè 1.0	ss ii 
sizè 1.0	ss ii zz 
ski 1.0	ss kk ii 
sklérozé 1.0	ss kk ll 
sklérozé 1.0	ss kk ll ee 
skérosé 1.0	ss kk 
skérosé 1.0	ss kk ee 
société 1.0	ss oo ss ii 
sodòm 1.0	ss oo 
sodòm 1.0	ss oo tt 
sof 1.0	ss oo ff 
soirées 1.0	ss ww aa rr 
sojé 1.0	ss oo jj 
sol 1.0	ss oo ll 
solida 1.0	ss oo ll ii dd aa 
solidarité 1.0	ss oo ll ii dd aa rr ii 
solidarité 1.0	ss oo ll ii dd aa rr ii tt 
solisyon 1.0	ss oo ll ii zz yy on 
solisyon 1.0	ss oo ll ii zz yy on nn 
solution 1.0	ss oo ll uu ss yy on 
solution 1.0	ss oo ll uu ss yy on nn 
solèy 1.0	ss oo ll 
son 1.0	ss on 
son 1.0	ss on nn 
sonjé 1.0	ss on jj 
sorte 1.0	ss oo rr tt 
sorte 1.0	ss oo rr tt ee 
sos 1.0	ss au 
sos 1.0	ss au zz 
sosolida 1.0	ss oo zz oo ll ii dd aa 
sosyal 1.0	ss oo zz yy aa ll 
sou 1.0	ss ou 
soud 1.0	ss ou 
soud 1.0	ss ou tt 
soulyé 1.0	ss ou ll ii 
soup 1.0	ss ou 
soup 1.0	ss ou pp 
souri 1.0	ss ou rr ii 
sous 1.0	ss ou 
sous 1.0	ss ou zz 
soutou 1.0	ss ou tt ou 
souvan 1.0	ss ou vv an 
souvan 1.0	ss ou vv an nn 
souveni 1.0	ss ou vv ee nn ii 
souveni 1.0	ss ou vv nn ii 
souvéni 1.0	ss ou vv 
sponsorizé 1.0	ss pp oo nn ss oo rr ii 
sponsorizé 1.0	ss pp oo nn ss oo rr ii zz 
sport 1.0	ss pp oo rr 
sport 1.0	ss pp oo rr tt 
sportif 1.0	ss pp oo rr tt ii ff 
sportifs 1.0	ss pp oo rr tt ii ff 
sportifs 1.0	ss pp oo rr tt ii ff zz 
spèktak 1.0	ss pp 
spécifique 1.0	ss pp 
ss 1.0	ss 
station 1.0	ss tt aa ss yy on 
station 1.0	ss tt aa ss yy on nn 
stratéjik 1.0	ss tt rr aa 
stratéjik 1.0	ss tt rr aa tt 
string 1.0	ss tt rr ii nn gg 
string 1.0	ss tt rr ii nn gg kk 
subsisté 1.0	ss uu bb zz ii ss tt 
sucre 1.0	ss uu kk rr 
suit 1.0	ss uy ii 
suit 1.0	ss uy ii tt 
suiv 1.0	ss uy ii vv 
sujet 1.0	ss uu jj ai 
sujet 1.0	ss uu jj ai tt 
sur 1.0	ss uu rr 
surtout 1.0	ss uu rr tt ou 
surtout 1.0	ss uu rr tt ou tt 
swa 1.0	ss ww aa 
swadizan 1.0	ss ww aa dd ii zz an 
swadizan 1.0	ss ww aa dd ii zz an nn 
swaré 1.0	ss ww aa rr 
swasant 1.0	ss ww aa zz an 
swasant 1.0	ss ww aa zz an tt 
swèf 1.0	ss ww 
syal 1.0	ss yy aa ll 
syans 1.0	ss yy an 
syans 1.0	ss yy an zz 
syantifik 1.0	ss yy an tt ii ff ii kk 
sè 1.0	ai ss 
sèl 1.0	ai ss 
sèlman 1.0	ai ss 
sèn 1.0	ai ss 
sèt 1.0	ai ss 
sètadi 1.0	ai ss 
sètèn 1.0	ai ss 
sèvi 1.0	ai ss 
sèz 1.0	ai ss 
sé 1.0	ai ss 
séché 1.0	ai ss 
séjou 1.0	ai ss 
sél 1.0	ai ss 
sémès 1.0	ai ss 
sériz 1.0	ai ss 
séryèz 1.0	ai ss 
sézon 1.0	ai ss 
séé 1.0	ai ss 
sòs 1.0	ai ss 
sòt 1.0	ai ss 
sòti 1.0	ai ss 
t'an 1.0	tt an 
t'an 1.0	tt an nn 
ta 1.0	tt aa 
talè 1.0	tt aa ll 
tan 1.0	tt an 
tan 1.0	tt an nn 
tanbou 1.0	tt an bb ou 
tandis 1.0	tt an dd ii 
tandis 1.0	tt an dd ii zz 
tandé-y 1.0	tt an 
tandé-y 1.0	tt an tt 
tann 1.0	tt an nn 
tant 1.0	tt an 
tant 1.0	tt an tt 
tante 1.0	tt an tt 
tanzantan 1.0	tt an zz an tt an 
tanzantan 1.0	tt an zz an tt an nn 
tap 1.0	tt aa pp 
taïna 1.0	tt aa 
tchou 1.0	tt ch ou 
tchouyé 1.0	tt ch ou ii 
te 1.0	tt 
te 1.0	tt ee 
temps 1.0	tt an pp 
temps 1.0	tt an pp zz 
ten 1.0	tt ai nn 
terre 1.0	tt ai rr 
territoriale 1.0	tt ai rr ii tt oo rr yy aa ll 
théâtre 1.0	tt 
ti 1.0	tt ii 
tichòt 1.0	tt ii ch 
timoun 1.0	tt ii mm ou nn 
tin 1.0	tt in 
tin 1.0	tt in nn 
tini 1.0	tt ii nn ii 
tinyé 1.0	tt ii nn ii 
tipunch 1.0	tt ii pp un ch 
tonbé 1.0	tt on bb 
tonik 1.0	tt oo nn ii kk 
tou 1.0	tt ou 
touché 1.0	tt ou ch 
toujou 1.0	tt ou jj ou 
toujours 1.0	tt ou jj ou rr 
toujours 1.0	tt ou jj ou rr zz 
touman 1.0	tt ou mm an 
touman 1.0	tt ou mm an nn 
touné 1.0	tt ou nn 
toupatou 1.0	tt ou pp aa tt ou 
tour 1.0	tt ou rr 
tourist 1.0	tt ou rr ii ss tt 
tout 1.0	tt ou 
tout 1.0	tt ou tt 
toutalè 1.0	tt ou tt aa ll 
toute 1.0	tt ou tt 
toutes 1.0	tt ou tt 
toutes 1.0	tt ou tt zz 
traces 1.0	tt rr aa ss 
tradisyon 1.0	tt rr aa dd ii zz yy on 
tradisyon 1.0	tt rr aa dd ii zz yy on nn 
tradisyonèl 1.0	tt rr aa dd ii zz yy on 
tradisyonèl 1.0	tt rr aa dd ii zz yy on nn 
trankil 1.0	tt rr an kk ii ll 
trankilité 1.0	tt rr an kk ii ll ii 
trankilité 1.0	tt rr an kk ii ll ii tt 
trans 1.0	tt rr an 
trans 1.0	tt rr an zz 
transfòmasyon 1.0	tt rr an ss ff 
transfòmé 1.0	tt rr an ss ff 
transmèt 1.0	tt rr an ss mm 
transmèt 1.0	tt rr an ss mm ee 
trant 1.0	tt rr an 
trant 1.0	tt rr an tt 
trapé 1.0	tt rr aa 
trapé 1.0	tt rr aa pp 
tras 1.0	tt rr aa 
tras 1.0	tt rr aa zz 
travail 1.0	tt rr aa vv aa yy 
travay 1.0	tt rr aa vv aa ii 
travayan 1.0	tt rr aa vv ai yy an 
travayan 1.0	tt rr aa vv ai yy an nn 
travayè 1.0	tt rr aa vv aa ii 
travo 1.0	tt rr aa vv au 
travèsé 1.0	tt rr aa vv 
tren 1.0	tt rr ai nn 
trent 1.0	tt rr an 
trent 1.0	tt rr an tt 
trente 1.0	tt rr an tt 
tribinal 1.0	tt rr ii bb ii nn aa ll 
trinidad 1.0	tt rr ii nn ii dd aa 
trinidad 1.0	tt rr ii nn ii dd aa tt 
tro 1.0	tt rr au 
trodui 1.0	tt rr oo dd uy ii 
trouvé 1.0	tt rr ou vv 
trouvé-y 1.0	tt rr ou vv 
trwa 1.0	tt rr ww aa 
trè 1.0	tt rr 
trè 1.0	tt rr ee 
très 1.0	tt rr 
très 1.0	tt rr ee 
trèzan 1.0	tt rr 
trèzan 1.0	tt rr ee 
tréné 1.0	tt rr 
tréné 1.0	tt rr ee 
trò 1.0	tt rr 
trò 1.0	tt rr ee 
tu 1.0	tt uu 
turbulenscene 1.0	tt uu rr bb uu ll an ss ee nn 
turbulenscene 1.0	tt uu rr bb uu ll an ss nn 
ture 1.0	tt uu rr 
tué 1.0	tt uu 
twa 1.0	tt ww aa 
tyen 1.0	tt yy in 
tyen 1.0	tt yy in nn 
tè 1.0	tt ei 
tè 1.0	tt ei tt 
tèks 1.0	tt ei 
tèks 1.0	tt ei tt 
tèl 1.0	tt ei 
tèl 1.0	tt ei tt 
tèlman 1.0	tt ei 
tèlman 1.0	tt ei tt 
tèm 1.0	tt ei 
tèm 1.0	tt ei tt 
tèminé 1.0	tt ei 
tèminé 1.0	tt ei tt 
tèren 1.0	tt ei 
tèren 1.0	tt ei tt 
tèt 1.0	tt ei 
tèt 1.0	tt ei tt 
té 1.0	tt ei 
té 1.0	tt ei tt 
téknolojik 1.0	tt ei 
téknolojik 1.0	tt ei tt 
télé 1.0	tt ei 
télé 1.0	tt ei tt 
tépou 1.0	tt ei 
tépou 1.0	tt ei tt 
téré 1.0	tt ei 
téré 1.0	tt ei tt 
téyat 1.0	tt ei 
téyat 1.0	tt ei tt 
ue 1.0	uu 
ultra-marain 1.0	uu ll tt rr aa mm aa rr in 
ultra-marain 1.0	uu ll tt rr aa mm aa rr in nn 
un 1.0	un 
un 1.0	un nn 
une 1.0	uu nn 
untel 1.0	un tt ai ll 
vakans 1.0	vv aa kk an 
vakans 1.0	vv aa kk an zz 
validé 1.0	vv aa ll ii 
validé 1.0	vv aa ll ii tt 
valiz 1.0	vv aa ll ii 
valiz 1.0	vv aa ll ii zz 
valorisé 1.0	vv aa ll oo rr ii 
valorisé 1.0	vv aa ll oo rr ii zz 
valorizé 1.0	vv aa ll oo rr ii 
valorizé 1.0	vv aa ll oo rr ii zz 
valè 1.0	vv aa ll 
vann 1.0	vv an nn 
vansé 1.0	vv an 
vansé 1.0	vv an zz 
varyéfinalman 1.0	vv aa rr ii 
vaval 1.0	vv aa vv aa ll 
vaévyen 1.0	vv aa 
ven 1.0	vv ai nn 
vers 1.0	vv ai rr 
veut 1.0	vv eu 
veut 1.0	vv eu tt 
veux 1.0	vv eu 
veux 1.0	vv eu zz 
vi 1.0	vv ii 
vibrasyon 1.0	vv ii bb rr aa zz yy on 
vibrasyon 1.0	vv ii bb rr aa zz yy on nn 
vidé 1.0	vv ii 
vidé 1.0	vv ii tt 
vie 1.0	vv ii 
vil 1.0	vv ii ll 
vilnérab 1.0	vv ii ll nn 
vin 1.0	vv in 
vin 1.0	vv in nn 
vincent 1.0	vv in ss an 
vincent 1.0	vv in ss an tt 
vini 1.0	vv ii nn ii 
vis 1.0	vv ii ss 
vit 1.0	vv ii 
vit 1.0	vv ii tt 
vitamin 1.0	vv ii tt aa mm in 
vitamin 1.0	vv ii tt aa mm in nn 
vité 1.0	vv ii 
vité 1.0	vv ii tt 
viv 1.0	vv ii vv 
vivre 1.0	vv ii vv rr 
vivre 1.0	vv ii vv rr ee 
vizavi 1.0	vv ii zz aa vv ii 
vizité 1.0	vv ii zz ii 
vizité 1.0	vv ii zz ii tt 
vizé 1.0	vv ii 
vizé 1.0	vv ii zz 
vlé 1.0	vv ll 
voilà 1.0	vv ww aa ll 
vois 1.0	vv ww aa 
vois 1.0	vv ww aa zz 
vou 1.0	vv ou 
vraiment 1.0	vv rr ai mm an 
vraiment 1.0	vv rr ai mm an tt 
vrè 1.0	vv rr 
vrè 1.0	vv rr ee 
vrèman 1.0	vv rr 
vrèman 1.0	vv rr ee 
vré 1.0	vv rr 
vré 1.0	vv rr ee 
vréman 1.0	vv rr 
vréman 1.0	vv rr ee 
vwa 1.0	vv ww aa 
vwala 1.0	vv ww aa ll aa 
vwati 1.0	vv ww aa tt ii 
vwazinaj 1.0	vv ww aa zz ii nn aa jj 
vwè 1.0	vv ww 
vwè'w 1.0	vv ww 
vwè-y 1.0	vv ww 
vwèkòm 1.0	vv ww 
vwèvwè 1.0	vv ww 
vwèyé 1.0	vv ww 
vyann 1.0	vv yy an nn 
vyé 1.0	vv ii 
vè 1.0	vv ei 
vé 1.0	vv ei 
w 1.0	dd ou bb ll ee vv ei 
w 1.0	dd ou bb ll vv ei 
wa 1.0	ww aa 
wi 1.0	ww ii 
wikenn 1.0	ww ii kk an nn 
woma 1.0	ww oo mm aa 
wouj 1.0	ww ou jj 
wouvin 1.0	ww ou vv in 
wouvin 1.0	ww ou vv in nn 
woy 1.0	ww oo ii 
wè 1.0	dd ou bb ll ee vv ei 
wè 1.0	dd ou bb ll vv ei 
wènon 1.0	dd ou bb ll ee vv ei 
wènon 1.0	dd ou bb ll vv ei 
wòch 1.0	dd ou bb ll ee vv ei 
wòch 1.0	dd ou bb ll vv ei 
wòl 1.0	dd ou bb ll ee vv ei 
wòl 1.0	dd ou bb ll vv ei 
wòz 1.0	dd ou bb ll ee vv ei 
wòz 1.0	dd ou bb ll vv ei 
x 1.0	ii kk ss 
y 1.0	ii 
ya 1.0	yy aa 
yen 1.0	yy ai nn 
yo 1.0	yy au 
yonn 1.0	yy on nn 
yonou 1.0	yy oo nn ou 
youniti 1.0	yy ou nn ii tt ii 
yè 1.0	ii 
yé 1.0	ii 
zafè 1.0	zz aa ff 
zan 1.0	zz an 
zan 1.0	zz an nn 
zanana 1.0	zz aa nn aa nn aa 
zanmi 1.0	zz an mm ii 
zannanan 1.0	zz aa nn aa nn an 
zannanan 1.0	zz aa nn aa nn an nn 
zansyen 1.0	zz an ss yy in 
zansyen 1.0	zz an ss yy in nn 
zantiy 1.0	zz an tt yy ii 
zané 1.0	zz an 
zané 1.0	zz an nn 
zataché 1.0	zz aa tt aa ch 
zendyen 1.0	zz an dd yy in 
zendyen 1.0	zz an dd yy in nn 
zil 1.0	zz ii ll 
ziyanm 1.0	zz ii yy an mm 
zoji 1.0	zz oo jj ii 
zoranj 1.0	zz oo rr an jj 
zot 1.0	zz au 
zot 1.0	zz au tt 
zèb 1.0	zz ai dd 
zèb 1.0	zz ai dd zz 
zéklav 1.0	zz ai dd 
zéklav 1.0	zz ai dd zz 
zépis 1.0	zz ai dd 
zépis 1.0	zz ai dd zz 
zéro 1.0	zz ai dd 
zéro 1.0	zz ai dd zz 
zétazini 1.0	zz ai dd 
zétazini 1.0	zz ai dd zz 
zétid 1.0	zz ai dd 
zétid 1.0	zz ai dd zz 
zòn 1.0	zz ai dd 
zòn 1.0	zz ai dd zz 
zòt 1.0	zz ai dd 
zòt 1.0	zz ai dd zz 
zòté 1.0	zz ai dd 
zòté 1.0	zz ai dd zz 
